id,natural_cidade_campus,qtd_periodos_cursados,genero,cor
1697,N,10,M,Preta
1699,S,4,M,Parda
1703,N,10,M,Branca
1704,N,2,M,Parda
1705,N,4,M,Parda
1706,N,2,M,Branca
1708,N,2,M,Branca
1710,N,8,M,Branca
1712,N,3,M,Parda
1714,N,4,M,Branca
1715,S,2,M,Branca
1719,N,2,M,Branca
1721,N,2,M,Branca
1722,S,2,M,Parda
1726,S,6,M,Preta
1729,N,6,M,Branca
1730,N,1,M,Branca
1731,S,6,M,Branca
1732,N,2,M,Parda
1733,N,2,F,Branca
1734,N,1,F,Branca
1736,S,1,F,Branca
1737,S,1,F,Parda
1738,N,2,F,Parda
1739,N,2,F,Branca
1741,N,4,F,Parda
1743,N,6,F,Branca
1746,N,2,F,Branca
1750,N,2,F,Branca
1751,N,8,F,Parda
1753,N,2,F,Branca
1757,N,6,F,Parda
1758,N,3,F,Parda
1760,N,1,F,Branca
1761,S,2,F,Branca
1763,N,10,F,Branca
1765,S,2,F,Branca
1766,N,4,F,Preta
1768,N,3,F,Parda
1771,N,1,F,Parda
1772,N,1,F,Branca
1774,N,2,F,Branca
1776,N,6,F,Parda
1777,N,2,F,Branca
1780,N,1,F,Branca
1781,S,8,F,Branca
1785,S,4,F,Branca
1786,N,1,F,Branca
1788,N,1,M,Branca
1789,S,1,F,Branca
1790,N,2,F,Branca
1793,S,1,F,Branca
1795,N,1,F,Branca
1798,N,1,F,Branca
1806,N,6,F,Branca
1809,N,6,F,Branca
1811,S,2,M,Branca
1813,N,1,M,Branca
1814,S,6,M,Branca
1815,N,2,M,Branca
1816,N,1,M,Preta
1817,N,4,M,Branca
1818,N,1,M,Branca
1819,N,2,M,Branca
1823,N,1,M,Parda
1824,N,7,M,Branca
1829,N,6,M,Branca
1832,N,2,M,Parda
1833,N,10,M,Branca
1835,N,4,M,Parda
1838,N,4,M,Branca
1839,N,1,M,Parda
1841,N,1,M,Parda
1844,N,1,M,Branca
1847,N,2,M,Parda
1850,N,2,M,Branca
1852,N,1,M,Branca
1854,S,1,M,Parda
1856,N,8,M,Parda
1858,S,2,M,Branca
1860,N,2,M,Branca
1861,N,1,M,Parda
1862,N,4,M,Branca
1864,N,4,M,Parda
1865,N,2,M,Branca
1867,N,2,M,Branca
1868,N,1,M,Branca
1869,S,1,M,Branca
1885,N,4,F,Branca
1886,S,1,F,Branca
1889,S,1,M,Branca
1890,S,6,M,Branca
1891,N,8,M,Parda
1892,N,8,M,Branca
1894,S,5,M,Branca
1896,N,2,M,Branca
1898,S,2,M,Branca
1899,S,8,M,Branca
1903,N,1,M,Branca
1905,N,1,M,Branca
1906,S,8,M,Branca
1907,S,7,M,Branca
1908,N,6,M,Parda
1909,N,1,M,Branca
1910,N,6,M,Amarela
1912,N,9,M,Parda
1913,N,8,M,Parda
1914,N,1,M,Branca
1917,N,4,M,Branca
1919,N,9,M,Parda
1920,S,2,M,Branca
1923,N,3,M,Branca
1925,S,9,M,Branca
1931,N,1,M,Branca
1933,N,3,M,Parda
1934,N,1,M,Branca
1935,N,2,F,Branca
1937,N,8,F,Branca
1938,S,4,F,Parda
1940,N,1,M,Parda
1943,S,2,M,Branca
1944,N,2,M,Branca
1950,N,2,F,Branca
1952,N,9,F,Branca
1953,N,8,F,Branca
1956,N,10,M,Parda
1957,N,3,F,Parda
1959,N,1,F,Branca
1960,S,6,F,Branca
1961,S,2,F,Parda
1962,N,10,F,Branca
1966,S,4,F,Preta
1967,N,1,F,Branca
1968,N,1,F,Branca
1972,N,6,F,Branca
1973,N,8,F,Branca
1975,N,1,F,Branca
1978,N,1,F,Branca
1980,N,8,F,Parda
1981,N,1,M,Branca
1986,N,1,M,Branca
1989,N,1,M,Branca
1993,N,10,F,Parda
1995,N,2,F,Branca
1996,N,8,F,Branca
1998,N,1,F,Branca
1999,N,1,F,Branca
2002,N,6,F,Parda
2004,N,6,F,Parda
2006,N,1,M,Branca
2010,N,2,F,Branca
2011,N,2,M,Branca
2016,N,4,F,Parda
2023,N,6,F,Branca
2026,N,4,M,Branca
2028,N,8,M,Branca
2029,N,4,M,Parda
2034,N,10,F,Branca
2035,N,4,F,Branca
2036,S,2,F,Branca
2038,N,1,F,Branca
2055,S,6,F,Branca
2056,N,1,F,Parda
2057,S,8,M,Parda
2061,N,4,M,Branca
2063,N,2,M,Branca
2064,N,10,M,Parda
2065,S,1,M,Amarela
2066,N,4,M,Parda
2069,N,1,M,Branca
2070,S,1,M,Branca
2071,N,2,M,Branca
2072,N,4,M,Branca
2075,N,6,M,Branca
2077,S,3,M,Branca
2080,N,10,M,Branca
2082,N,1,M,Parda
2084,S,4,M,Branca
2085,N,9,M,Parda
2087,N,3,M,Branca
2088,N,1,M,Branca
2089,N,2,M,Branca
2090,N,1,M,Branca
2092,S,1,M,Branca
2093,N,2,M,Branca
2096,S,8,M,Parda
2098,S,3,M,Branca
2099,N,1,M,Parda
2102,N,4,M,Branca
2103,N,1,M,Branca
2104,N,8,M,Branca
2105,N,3,M,Branca
2111,N,4,M,Branca
2113,N,10,M,Branca
2115,N,8,M,Branca
2117,N,2,M,Branca
2120,N,1,F,Branca
2121,N,8,F,Parda
2126,S,8,M,Branca
2128,N,1,M,Branca
2129,N,2,F,Branca
2130,S,2,F,Branca
2133,S,8,M,Parda
2136,S,7,M,Branca
2138,N,6,M,Branca
2143,N,1,M,Branca
2146,S,4,F,Parda
2147,N,10,F,Parda
2148,S,2,F,Branca
2149,N,10,F,Branca
2150,N,2,M,Indígena
2151,N,8,M,Parda
2152,N,2,F,Branca
2161,N,2,F,Branca
2163,N,1,F,Branca
2166,S,1,F,Branca
2172,N,6,M,Branca
2173,N,1,M,Branca
2176,S,2,M,Branca
2179,S,1,F,Parda
2180,N,4,M,Branca
2182,S,7,M,Parda
2183,N,2,F,Parda
2186,N,2,F,Preta
2187,N,6,M,Branca
2189,N,1,M,Branca
2191,S,2,F,Branca
2192,N,5,F,Branca
2194,N,7,F,Preta
2196,N,9,F,Parda
2197,N,1,F,Branca
2202,N,4,F,Branca
2203,N,1,F,Branca
2204,N,1,F,Branca
2205,N,1,F,Parda
2209,N,1,F,Branca
2210,N,2,M,Branca
2212,N,2,F,Branca
2213,N,2,M,Branca
2216,S,3,F,Amarela
2224,S,8,M,Branca
2228,S,2,F,Parda
2229,S,4,F,Branca
2231,N,4,F,Branca
2232,S,4,M,Branca
2235,N,4,F,Branca
2239,N,6,F,Parda
2244,N,1,F,Parda
2247,N,2,F,Branca
2249,N,6,F,Branca
2255,N,1,F,Branca
2256,N,4,F,Parda
2259,S,10,F,Preta
2260,S,3,F,Parda
2265,N,2,F,Branca
2266,S,10,F,Parda
2267,N,6,F,Branca
2269,N,6,F,Branca
2270,N,2,F,Branca
2273,N,6,F,Branca
2274,N,9,F,Branca
2275,N,3,F,Parda
2276,S,2,F,Branca
2278,N,2,F,Branca
2279,N,1,F,Branca
2285,N,3,F,Branca
2287,N,2,F,Branca
2292,S,8,F,Branca
2293,S,4,M,Branca
2296,S,3,M,Preta
2297,N,10,M,Parda
2298,N,8,M,Branca
2299,N,1,M,Branca
2301,S,1,M,Branca
2304,S,4,F,Branca
2306,N,1,M,Branca
2309,N,6,M,Parda
2311,N,1,M,Parda
