id,idade_ingresso,ano_ingresso,tempo_entre_conclusao_em_ingresso,carga_horaria,forma_ingresso,curso,ano_conclusao,situacao_matricula
4559,32,2020,14,3600,Vestibular,Engenharia Mecânica,0,Evadido
4565,20,2021,3,4073,Vestibular,Letras,0,Evadido
4567,26,2022,6,3310,Transferência externa,Física,0,Matriculado
4571,22,2019,5,3660,SISU,Engenharia de Produção,0,Matriculado
4572,27,2022,10,3600,Vestibular,Engenharia Mecânica,0,Matriculado
4576,19,2019,1,4073,Vestibular,Letras,0,Evadido
4578,19,2019,2,4073,Vestibular,Letras,0,Matriculado
4579,26,2020,7,4073,Vestibular,Letras,0,Evadido
4582,28,2020,9,3660,Obtenção de novo título,Engenharia de Produção,0,Evadido
4584,20,2020,2,3600,SISU,Engenharia Mecânica,0,Matriculado
4586,19,2018,1,3660,SISU,Engenharia de Produção,0,Evadido
4589,19,2022,0,3600,SISU,Engenharia Mecânica,0,Matriculado
4590,30,2020,13,3310,SISU,Física,0,Matriculado
4593,18,2020,1,3600,SISU,Engenharia Mecânica,0,Evadido
4594,20,2020,2,3660,Vestibular,Engenharia de Produção,0,Evadido
4596,19,2020,1,3600,SISU,Engenharia Mecânica,0,Evadido
4597,25,2019,6,3660,SISU,Engenharia de Produção,0,Evadido
4599,21,2021,3,4073,SISU,Letras,0,Matriculado
4600,23,2019,6,4073,SISU,Letras,0,Matriculado
4602,26,2018,8,3660,SISU,Engenharia de Produção,0,Evadido
4604,20,2019,2,3600,Vestibular,Engenharia Mecânica,0,Evadido
4609,35,2022,18,3600,Vestibular,Engenharia Mecânica,0,Matriculado
4611,22,2018,5,3690,Transferência externa,Engenharia de Produção,2022,Formado
4615,30,2021,12,4073,SISU,Letras,0,Matriculado
4618,25,2021,8,3660,Vestibular,Engenharia de Produção,0,Matriculado
4619,26,2020,9,3660,Transferência externa,Engenharia de Produção,0,Matriculado
4621,40,2020,22,3310,SISU,Física,0,Evadido
4624,28,2018,11,2850,Vestibular,Física,0,Evadido
4625,45,2020,23,3310,SISU,Física,0,Matriculado
4626,20,2022,0,3660,SISU,Engenharia de Produção,0,Evadido
4627,23,2018,3,3600,Vestibular,Engenharia Mecânica,0,Evadido
4628,18,2020,1,3600,SISU,Engenharia Mecânica,0,Evadido
4629,21,2019,4,3660,Vestibular,Engenharia de Produção,0,Matriculado
4630,23,2018,5,3660,Vestibular,Engenharia de Produção,0,Matriculado
4633,20,2019,3,4073,SISU,Letras,0,Matriculado
4638,26,2020,7,3660,Vestibular,Engenharia de Produção,0,Matriculado
4639,38,2022,21,3310,SISU,Física,0,Evadido
4640,29,2019,11,2850,SISU,Física,0,Matriculado
4641,20,2019,2,4073,SISU,Letras,0,Matriculado
