id,campus,curso,turno,ultima_avaliacao_mec,relacao_aluno_professor,perc_rfp_ate_1salmeio_curso,area_conhecimento,grau_academico
15651,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15652,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15653,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15654,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15655,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15656,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15657,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15658,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15661,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15662,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15663,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15664,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15666,Sabará,Administração,Noturno,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15668,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15670,Sabará,Sistemas de Informação,Matutino,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15672,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15674,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15675,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15676,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15677,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15679,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15680,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15681,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15682,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15683,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15684,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15685,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15686,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15687,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15688,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15689,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15690,Sabará,Sistemas de Informação,Matutino,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15691,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15692,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15693,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15694,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15695,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15696,Sabará,Administração,Noturno,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15697,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15698,Sabará,Sistemas de Informação,Matutino,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15700,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15701,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15702,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15703,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15704,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15705,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15706,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15707,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15708,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15710,Sabará,Administração,Noturno,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15712,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15713,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15714,Sabará,Processos Gerenciais,Noturno,3,1.20,41,Ciências Sociais Aplicadas,Tecnológico
15715,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15716,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15718,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15719,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15723,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15727,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15729,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15731,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15732,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15733,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15735,Sabará,Sistemas de Informação,Matutino,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15737,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15738,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15739,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15740,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15741,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15742,Sabará,Sistemas de Informação,Matutino,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15743,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15745,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15747,Sabará,Sistemas de Informação,Matutino,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15748,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15749,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15750,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15751,Sabará,Sistemas de Informação,Integral,4,4.60,41,Ciências Exatas e da Terra,Bacharelado
15752,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15753,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
15754,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15756,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15758,Sabará,Administração,Integral,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15759,Sabará,Administração,Noturno,0,2.70,39,Ciências Sociais Aplicadas,Bacharelado
15760,Sabará,Engenharia de Controle e Automação,Integral,0,4.30,40,Engenharias,Bacharelado
15761,Sabará,Logística,Noturno,3,3.30,34,Engenharias,Tecnológico
