id,natural_cidade_campus,qtd_periodos_cursados,genero,cor
5581,S,4,M,Branca
5593,N,2,F,Branca
5594,N,6,F,Branca
5595,S,7,F,Branca
5607,N,11,M,Branca
5623,N,8,M,Parda
5627,S,3,M,Branca
5628,S,8,M,Branca
5636,S,5,F,Branca
5641,N,8,M,Preta
5642,N,2,M,Preta
5658,S,5,M,Parda
5659,S,3,M,Parda
5678,S,3,M,Parda
5679,S,2,M,Parda
5685,S,8,M,Branca
5686,N,11,F,Branca
5707,S,4,F,Branca
5710,N,7,F,Parda
5716,S,4,F,Parda
5721,N,11,M,Parda
5725,S,9,F,Branca
5726,S,2,F,Branca
5735,N,7,M,Branca
5737,N,9,M,Parda
5744,N,3,M,Parda
5772,N,5,F,Branca
5777,N,8,F,Branca
5784,N,5,F,Branca
5787,N,9,F,Parda
5788,N,8,F,Parda
5804,N,1,F,Parda
5822,S,3,F,Branca
5833,S,3,M,Branca
5848,N,2,M,Branca
5852,S,7,F,Branca
5881,S,2,F,Branca
5897,N,4,F,Branca
5908,N,3,M,Parda
5909,N,3,F,Branca
5915,S,7,F,Branca
5921,S,5,F,Parda
5938,N,7,M,Parda
5951,N,3,F,Parda
5961,S,1,M,Parda
5977,N,6,M,Parda
5989,S,9,F,Parda
5990,N,4,F,Parda
5996,S,7,M,Branca
6006,S,5,F,Preta
6008,S,7,M,Branca
6054,S,7,F,Branca
6074,N,6,M,Branca
6079,N,3,F,Parda
6080,N,7,F,Preta
6081,N,5,F,Parda
6095,N,11,M,Branca
6097,N,1,F,Branca
6120,S,4,F,Parda
6124,N,5,M,Parda
6141,N,5,M,Parda
6143,S,8,F,Parda
6152,N,11,M,Parda
6153,N,1,M,Branca
6155,N,11,M,Parda
6156,S,3,M,Branca
6172,N,3,M,Parda
6176,S,1,M,Parda
6192,S,7,F,Branca
6197,S,5,F,Branca
6200,N,9,F,Branca
6218,N,5,F,Parda
6223,N,2,M,Parda
6238,S,11,M,Branca
6268,S,9,M,Branca
6276,S,7,M,Parda
6279,S,4,F,Branca
6280,N,7,F,Branca
6318,N,9,M,Parda
6336,S,7,F,Parda
6339,S,10,F,Branca
6340,S,6,F,Parda
6359,N,8,M,Parda
6363,S,8,F,Parda
6365,N,8,F,Parda
6369,S,5,M,Branca
6370,S,5,M,Parda
6380,S,9,F,Parda
6394,N,9,M,Branca
6397,N,11,M,Preta
6426,N,11,M,Preta
6429,N,7,M,Branca
6433,S,7,M,Branca
6434,N,3,M,Parda
6449,N,5,F,Preta
6450,N,11,F,Branca
6455,S,7,M,Preta
6462,N,2,F,Preta
6476,S,3,M,Branca
6487,S,6,F,Parda
6495,S,11,F,Branca
6496,S,7,F,Branca
6501,S,8,F,Branca
6524,N,7,F,Preta
6549,N,8,M,Branca
6558,N,9,F,Branca
6559,S,4,F,Branca
6571,S,4,F,Parda
6594,S,5,F,Parda
6602,S,10,M,Indígena
6605,S,2,F,Branca
6622,S,4,M,Parda
6629,S,8,M,Branca
6657,N,5,F,Branca
6689,S,1,M,Branca
6690,N,3,M,Preta
6702,N,8,F,Branca
6726,S,7,M,Branca
6743,S,5,M,Preta
6751,N,8,F,Parda
6762,N,11,F,Branca
6766,S,7,F,Parda
6767,N,6,F,Branca
6771,N,5,F,Parda
6772,N,11,F,Branca
6786,S,5,F,Branca
6798,S,4,M,Parda
6802,S,11,F,Parda
6804,N,1,M,Branca
6827,N,5,M,Branca
6852,S,8,M,Branca
6878,S,4,F,Branca
6902,N,8,M,Branca
6904,S,11,F,Branca
6912,N,11,M,Branca
6913,N,6,M,Parda
6927,S,11,F,Branca
6939,N,4,M,Branca
6988,S,6,F,Branca
6994,N,5,F,Branca
7002,N,3,M,Branca
7010,N,11,M,Branca
7017,S,5,F,Branca
7018,S,6,F,Branca
7027,S,3,F,Branca
7028,N,8,M,Parda
7036,S,7,F,Parda
7053,N,2,F,Parda
7060,N,3,M,Parda
7061,S,8,M,Parda
7092,N,2,M,Parda
7106,S,5,M,Preta
7119,S,7,M,Branca
7134,N,1,M,Parda
7138,S,3,F,Preta
7140,N,5,M,Preta
7148,N,9,F,Branca
7149,S,3,F,Parda
7150,N,7,F,Parda
7167,N,8,F,Branca
7170,N,8,F,Parda
7185,N,3,M,Branca
7200,S,3,F,Parda
7212,S,11,M,Branca
7214,N,3,M,Branca
7215,N,8,M,Branca
7219,N,11,M,Parda
7240,S,10,F,Parda
7241,S,8,F,Branca
7246,S,9,M,Parda
7277,N,3,M,Branca
7299,N,7,M,Branca
7316,N,9,M,Parda
7322,S,7,F,Parda
7332,N,6,F,Branca
7343,S,5,F,Preta
7361,S,3,M,Preta
7362,S,7,M,Preta
7363,S,7,F,Preta
7364,S,1,F,Preta
7378,S,6,M,Parda
7381,S,6,F,Parda
7383,N,10,F,Parda
7384,N,1,F,Parda
7393,S,5,F,Branca
7394,S,2,F,Branca
7403,S,6,M,Parda
7410,N,4,M,Branca
7411,N,2,M,Branca
7413,S,3,F,Parda
7414,S,6,F,Parda
7430,N,11,M,Branca
7431,S,2,F,Preta
7432,S,1,F,Preta
7436,N,17,F,Branca
7450,S,2,M,Branca
7451,S,7,M,Parda
7459,N,2,F,Parda
7460,N,5,F,Parda
7468,N,1,F,Branca
7469,N,3,F,Branca
7475,S,5,M,Parda
7477,S,2,M,Branca
7478,S,5,M,Branca
7480,S,5,M,Preta
7482,N,8,F,Parda
7485,N,1,F,Parda
7486,S,4,F,Preta
7487,N,4,F,Branca
7498,N,6,M,Parda
7499,N,1,M,Parda
7507,N,3,M,Parda
7508,N,1,M,Parda
7519,S,10,F,Parda
7524,N,7,F,Branca
7526,S,7,M,Preta
7527,S,1,M,Preta
7540,N,1,F,Parda
7541,N,3,F,Parda
7542,N,8,F,Parda
7554,S,3,M,Branca
7555,S,3,M,Branca
7564,S,2,M,Parda
7565,S,4,M,Parda
7581,S,2,F,Parda
7583,S,7,F,Parda
7597,N,5,M,Parda
7619,N,3,M,Branca
7626,S,3,F,Parda
7629,S,6,F,Parda
7640,S,8,F,Parda
7648,S,6,F,Parda
7650,S,3,F,Preta
7654,N,2,F,Parda
7657,S,3,F,Parda
7663,S,1,M,Parda
7667,S,6,M,Branca
7682,N,6,F,Parda
7697,N,3,M,Branca
7701,N,3,M,Parda
7712,S,2,F,Branca
7716,S,6,F,Parda
7722,N,3,F,Branca
7725,S,8,F,Parda
7727,S,6,M,Parda
7740,S,3,M,Branca
7755,N,6,F,Parda
7758,S,10,F,Amarela
7763,S,3,F,Branca
7787,S,9,M,Parda
7791,N,2,M,Parda
7804,N,2,F,Parda
7812,S,6,M,Parda
7813,N,7,M,Parda
7829,N,5,F,Preta
7836,N,3,F,Preta
7841,S,9,F,Branca
7847,N,7,F,Parda
7851,S,3,F,Parda
7869,N,7,F,Parda
7881,S,10,F,Parda
